name,detailed_info,address,tags
구시포해수욕장,"고창군 최대의 해수욕장으로 길고 넓은 백사장과 울창한 송림을 끼고 있다. 또한, 해변의 경사가 완만해서 가족 단위의 피서지로 제격이다. 백사장 남쪽에는 정유재란 때에 주민 수십 명과 산비둘기 수백 마리가 반년 동안 단을 피했다는 천연동굴이 있고, 해안 일대에는 기암괴석이 널려 있다. 앞바다에는 가막 도를 비롯한 섬들이 아름답게 떠 있고 해 질 무렵 서해 칠산바다를 붉게 물들이는 낙조를 볼 수 있다. 오토캠핑을 즐기려는 사람들이 많이 찾는 해수욕장기도 하다. 주변에는 각종 편의시설이 잘 갖춰져 있다.  ",전북특별자치도 고창군 상하면 자룡리 ,"['#가족여행', '#관광지', '#바다풍경', '#아이와함께', '#여름방학가볼만한곳', '#여름여행', '#여름휴가', '#연인과함께', '#자연', '#친구와함께', '#피서여행']"
무장향교 대성전,"향교는 공자와 훌륭한 유학자의 위패를 모시고 제사를 지내며 지방민의 교육과 교화를 위해 설립된 고려·조선시대의 국립 교육기관이다. 조선시대에는 국가로부터 토지와 노비 등을 지급받아 교관이 교생을 가르쳤으나, 1894년 갑오개혁으로 근대 교육이 본격화되면서 교육적 기능은 폐지되었다. 무장향교 대성전은 1420(세종 2)에 창건되었으며 중국의 4성, 중국 송대의 4현, 우리나라 성현 18현의 위패를 모시고 제사를 지내는 공간이다. 대성전은 뒷면 주초석을 항아리 모양으로 세운 점과 앞뒤의 출목도리 밑에 활주와 같은 기능을 하는 기둥을 세운 점이 매우 특이하다. 또한 충청도의 직산향교 대성전, 신창향교 대성전과 마찬가지로 하방에서 중방까지 좌우와 배면의 벽면을 돌담 장벽과 같이 마련한 점이 특이하다. 조선 시대 향교 건축물 연구에 좋은 자료가 된다.",전북특별자치도 고창군 무장면 교흥교촌길 9 (무장면),"['#고창무장향교', '#관광지', '#교과서속여행', '#대성전', '#무장향교대성전', '#문화재', '#문화재자료', '#역사', '#역사공부', '#역사관광지', '#역사를품은곳', '#역사문화재', '#역사속', '#역사속으로', '#역사유적', '#역사유적지', '#역사이야기', '#역사탐방', '#역사탐험', '#유적지', '#전라권', '#전북특별자치도문화재자료']"
꽃객프로젝트,"1972년 전북 고창의 한 시골 마을에서 시작된 가족 정원이 2010년 새 정원으로 옮겨졌다. 이후 김보헌 대표는 수십 년 경력의 원예 전문가인 아버지의 대를 이어 나무를 심고 꽃을 가꾸며 민간정원을 아름답게 꾸며가는 중이다. 정원에 들어서면 귀하고 멋진 반송이 반겨준다. 특히 가을이면 몽환적인 핑크색의 핑크뮬리로 뒤덮여 장관을 이룬다. 새로운 정원 ""꽃객프로젝트""로 2019년부터 고창 핑크뮬리 축제도 진행하고 있다. 66,000m²의 정원에 펼쳐진 10여 만 본의 핑크뮬리, 핑크메밀, 백일홍, 천일홍, 코키아 등 아름다운 꽃들과 정원수들을 감상할 수 있다. 꽃과 정원을 찾는 여행객인 '꽃객'은 현명한 로컬여행에 참여하며 즐거운 추억을 쌓게 된다. ",전북특별자치도 고창군 부안면 복분자로 307 ,"['#고창수목원', '#고창핑크뮬리', '#고창핑크뮬리축제', '#관광지', '#꽃객프로젝트', '#민간정원', '#팜정원', '#핑크뮬리', '#핑크뮬리축제']"
태흥갈비,"태흥갈비의 대표메뉴인 양념 돼지갈비는 양념이 깊게 잘 배어 있으며 달달한 간장소스의 맛이 별미이다. 양념돼지갈비와 생갈비구이는 숯불로 구워 먹는 방식이라 숯불의 향과 어우러져 더욱 풍미 있는 고기의 맛을 느낄 수 있다. 그리고 태흥갈비집이 자랑하는 특별한 메뉴는 육사시미와 복분자즙을 넣어 반죽한 냉면이다. 복분자냉면은 고창군 향토음식발굴에서 당당히 대상을 수상한 음식이다. 살얼음이 들어간 육수에 복분자면, 오이와 쌈무, 계란 반 개가 들어가 있다. 기본 면발보다 쫄깃한 맛을 느낄 수 있다.",전북특별자치도 고창군 고창읍 중앙로 306-4 ,"['#갈비', '#고창맛집', '#냉면', '#냉면', '#돼지갈비', '#맛집', '#삼겹살', '#생갈비', '#육회', '#음식', '#전라권', '#태흥갈비']"
해리마을,"우리나라 서남단에 자리한 고창 지역은 다양한 문화유적이 분포되어 있다. 특히 해리마을에 위치한 동호해수욕장의 500년 이상된 노송은 우리나라에서 보기 드문 것으로 유명하다. 또한, 너무도 깨끗한 해수욕장과 해당화 군락지, 명사십리가 조성되어 있다. 해리마을 인근에 2001년 폐교된 나성초등학교를 이대건 촌장과 이영남 관장 가족이 정착하여 조성한 인문출판 공도체 책마을 해리가 위치해 있다. 자연과 체험 등 다양하게 즐길 수 있는 해리마을이다. ",전북특별자치도 고창군 해리면 동호리 ,"['#갯벌', '#고창여행', '#관광지', '#숙박', '#어촌', '#어촌마을', '#자연', '#책마을해리']"
정산사,"정산사는 창녕조씨의 사우로, 조선 전기의 문신인 조서와 조선 후기의 학자인 조의기, 효자 조언징을 기리는 조선후기 사당이다. 월산마을에서 검암마을로 들어가는 마을 앞 동쪽 길가에 자리 잡고 있다. 조언징은 어려서부터 지성으로 부모에게 효도하여 당대의 사표가 되었다. 1797년(정조 21)에 창건하여 유창, 유한량, 조서를 향사하였으며, 1868년(고종 5)에 철폐되었다가 1900년(고종 37)에 다시 단을 세웠다. 1976년에 중건하면서 유창과 유한량은 조산사를 세워 따로 배향하였고, 조의기와 조언징을 추배 하였다. 사당은 정면 3칸, 측면 2칸의 맞배지붕이며, 강당, 명덕재, 내삼문, 장서고, 수직사 등으로 이루어져 있다. 향사일은 음력 9월 5일이다.  ",전북특별자치도 고창군 고창읍 월암안길 8 ,"['#고창여행', '#관광지', '#문화재', '#사당', '#역사', '#역사공부', '#역사관광지', '#역사를품은곳', '#역사문화재', '#역사속', '#역사속으로', '#역사유적', '#역사유적지', '#역사이야기', '#역사탐험']"
월암서원(고창),"서원은 조선 중기 이후에 학문을 연구하고 공자와 훌륭한 유학자의 제사를 지내기 위하여 지역 사림에 의해 설립된 사설 교육 기관이다. 고창공설운동장과 웰파크시티 사이에 위치한 월암서원은 조선 중기의 학자인 문정공 조광조(1482~1520) 등을 배향한 서원으로, 1946년 지방 유림에 의해 건립되어 오늘에 이르고 있다. 건물은 정면 3칸에 맞배지붕을 한 사우가 있고, 신문 3칸, 강당 4칸, 동재 4칸, 서재 3칸, 교직사 3칸으로 이뤄져 있다. 이 서원은 조광조 등 조선시대 사림의 정신이 현대까지 이어져 내려오고 있다는데 그 의의가 있다. 주변에는 웰파크시티 외에 방장산, 방장산자연휴양림 등이 있어 연계하여 관광할 수 있고, 고창시가지와도 가까운 편이다.   ",전북특별자치도 고창군 고창읍 월암길 75 ,"['#관광지', '#교과서속여행', '#서원', '#역사', '#역사공부', '#역사관광지', '#역사를품은곳', '#역사문화재', '#역사속', '#역사속으로', '#역사유적', '#역사유적지', '#역사이야기', '#역사탐방', '#역사탐험', '#월암서원', '#전라권']"
고창향교,"향교는 공자와 여러 성현들께 제사를 지내고, 지방민의 교육과 교화를 위해 나라에서 세운 교육기관이다. 고창향교는 고려 공민왕(재위 1351∼1374) 때 월곡리에 있던 학당사을 옮겨온 것으로, 조선 중종 7년(1512)에 다시 지었다. 대성전은 선조 38년(1605)에 수리하였고, 1974년에 기와를 보수하였다. 규모는 앞면 3칸·옆면 2칸이며, 지붕은 옆에서 볼 때 사람 인(人) 자 모양인 맞배지붕이다. 안쪽에는 공자를 비롯한 그 제자와 우리나라 성현들의 위패를 모시고 있다. 조선시대에는 나라에서 토지와 노비·책 등을 지원받아 학생을 가르쳤으나, 지금은 교육 기능은 없어지고 제사 기능만 남아 있다. 고창향교는 이 지방의 향토사 연구에 필요한 많은 책을 소장하고 있다. ",전북특별자치도 고창군 고창읍 향교길 27-3 (고창읍),"['#고창여행', '#관광지', '#문화재', '#역사', '#역사공부', '#역사관광지', '#역사를품은곳', '#역사문화재', '#역사속', '#역사속으로', '#역사유적지', '#역사이야기', '#역사탐방', '#역사탐험', '#향교']"
고창문화원,"고창은 선사시대의 다양한 형태의 고인돌과 함께 백제가요인 방등산가와 선운산가의 이야기가 전하는 노령산맥 끝자락의 방장산 아래에 자리를 잡고 있다. 판소리, 농악이 유네스코 세계문화유산으로 등재되어 있고, 고창읍성 등 많은 문화유산이 산재해 있는 고장이기도 하다. 이러한 풍부한 문화유산자원을 기반으로 고창문화원은 1963년 설립되었다.  고창 군민의 정서 함양과 예술적 소양을 배양함으로써 문화의 대중화에 노력하며, 향토 사료관을 운영, 지역 문화 발전을 위해 고창문화원은 다양한 활동을 진행하고 있다. 고창문화원에서는 수채화, 한춤, 문인화, 수필, 웰빙댄스, 민요, 서예, 장구 등 해 다양한 강좌를 운영하고 있다. ",전북특별자치도 고창군 고창읍 천변북로 119 ,"['#가족여행', '#고창문화공간', '#고창문화시설', '#마을축제', '#문화공간', '#문화시설', '#아이와함께', '#이색체험', '#전통&역사문화체험', '#체험학습', '#친구와함께']"
고창 분청사기요지,"전북 고창군 수동리에 있는 분청사기 가마터로, 구릉 위 작은 저수지의 경사진 언덕에 자리하고 있으며, 가마벽 부분·도자기 만들던 도구·분청사기 조각들이 널려있다. 그릇은 대접·접시·잔·항아리·큰 사발 조각이 주류를 이루며, 유약의 색은 회청색을 띠고 그릇을 빚던 흙에는 이물질이 많이 섞여 있다. 문양은 연꽃무늬, 물고기 무늬, 모란무늬들이 대범하게 그려져 있다. 특히 일부 그릇에 ‘내섬(內贍)’이라는 글자가 새겨져 있는데, 이는 전라도지방의 분청사기 가마터에서 널리 발견되는 것으로 관청용 분청사기도 제작하였음을 추정할 수 있다. ",전북특별자치도 고창군 부안면 수동리 ,"['#고창여행', '#관광지', '#문화재', '#사적', '#역사', '#역사공부', '#역사를품은곳', '#역사문화재', '#역사속', '#역사속으로', '#역사유적', '#역사유적지', '#역사이야기', '#역사탐방', '#역사탐험']"
죽도마을,"죽도는 고창군 부안면 봉암리 앞바다에 있는 섬이다. 섬으로 들어가는 방법은 두 가지가 있는데, 하나는 곰소항에서 배를 타고 들어가는 것이고, 다른 하나는 봉암리에서 물때에 맞춰 장화를 신고 길을 아는 사람을 따라 갯벌로 걸어서 들어가는 것이다.주민들은 주로 어업에 종사하며 살아가고 있다. 섬에 대나무가 무성하여 대섬이라고 하는 설과, 섬이 크게 보인다고 해서 대섬이라고 부르는 설이 있는데, 한자 지명 표기 시에 죽도라 부르게 되었다. 죽도에서는 바지락 채취체험과 바다낚시를 즐길 수 있다. 바지락 채취 체험을 할 경우 체험 14일 전에 예약을 해야 한다.",전북특별자치도 고창군 부안면 봉암리 683 ,"['#고창여행', '#관광지', '#바다경치', '#섬', '#숙박', '#어촌', '#어촌마을', '#자연', '#자연속으로', '#자연여행', '#자연좋은곳', '#자연풍경', '#자연환경', '#휴식하기좋은곳', '#힐링여행']"
